Major,"Date 
Contacted",Eggs,Milk,Fish,Shellfish,Peanuts,Tree Nuts,Sesame,Soy,Wheat/Gluten,Vegan,Vegetarian,Halal,Kosher,Other,Intial Concern,Hall (Living/Eating),Class Type,Notes,RCPD,Specialist,Dining Accommodation
Kinesiology,8/16/18,,,,,,,,,x,,,,,,,Wonders,Incoming Freshman,,,,
Engineering,8/16/18,,,,,,,,,x,,,,,Celiac,,Wonders,Incoming Freshman,,,,
Environmental Studies and Sustainability,8/16/18,,x,,,,,,,,,,,,,,Wonders,Incoming Freshman,,,,
Biochemistry and Molecular Biology,8/16/18,,x,,,,,,,,,,,,,,Wonders,Incoming Freshman,,,,
Special Ed,8/16/18,,,,,x,,,,,,,,,,,Yakeley,Incoming Freshman,,,,
No Pref,8/16/18,,x,,,,,,,x,,,,,,,Yakeley,Incoming Freshman,,,,
No Pref,8/17/18,,,,,x,x,,,,,,,,Flax,,Akers,Incoming Freshman,,,,
Physics,8/17/18,,,,,,,,,,,,,,Mint,,Akers,Incoming Freshman,,,,
Engineering,8/17/18,,x,,,,,,,,,,,,Fried foods,,Bailey,Incoming Freshman,,,,
James Madison,8/17/18,x,x,,,,,,,,,,,,,,Case,Incoming Freshman,,,,
Engineering,8/17/18,,,,,,,,,,,,,,Diabetic,,Case,Incoming Freshman,,,,
Pre-Med,8/17/18,,,,,,,,,,,,,,Fresh Fruits and Veggies,,Emmons,Incoming Freshman,,,,
Environmental Geography,8/17/18,,,,,,,,,,,,,,Red and blue dyes,,Emmons,Incoming Freshman,,,,
Biochemistry and Molecular Biology,8/17/18,,,,,,,,,,,,,,"Blue Rasp color/flavor, Blue food dye",,Holden,Incoming Freshman,,,,
Global & Intl Studies in Soc Sci,8/17/18,,,,,x,,,,,,,,,"Peas, Melons",,Holden,Incoming Freshman,,,,
Chemistry,8/17/18,,,,,,,,,,,,,,Health Conscience,,Holden,Incoming Freshman,,,,
Lyman Briggs,8/17/18,x,,,,,,,,,,,,,Corn,,Holmes,Incoming Freshman,,,,
Education,8/17/18,,,,,x,x,,,,,,,,"MSG, nitrates",,Holmes,Incoming Freshman,,,,
Lyman Briggs,8/17/18,x,,,,x,x,,,,,,,,"Seeds, Legumes",,Holmes,Incoming Freshman,,,,
Lyman Briggs,8/17/18,,,,,x,x,x,,,,,,,Chickpeas,,Holmes,Incoming Freshman,,,,
Lyman Briggs,8/17/18,,,,,,,,,,,,,,No beef,,Holmes,Incoming Freshman,,,,
Lyman Briggs,8/17/18,,,,,,,,,,,,,,No caffeine,,Holmes,Incoming Freshman,,,,
Business,8/17/18,,x,,,x,x,,,,,,,,Pumpkin Seeds,,Hubbard,Incoming Freshman,,,,
Criminal Justice,8/17/18,,,,,x,x,,,,,,,,Seeds,,Hubbard,Incoming Freshman,,,,
Pre-Nursing,8/17/18,,,,,x,,x,,,,,,,,,McDonel,Incoming Freshman,,,,
Engineering,8/17/18,,,,,x,x,,,,,x,,,,,Wilson,Incoming Freshman,,,,
Computer Science,8/17/18,,,,,,,,,,,x,,,No egg,,Wilson,Incoming Freshman,,,,
Engineering,8/17/18,,,,,x,x,,,,,,,,"Buckwheat, Bananas, Potatoes, Berries, Latex",,Wilson,Incoming Freshman,,,,
Computer Engineering ,8/20/18,,,,,,,x,,,,,,,colitis -- gluten no longer an issue; sesame is,,Emmons,Sophomore,,X,,
Psychology,8/20/18,,,,,,,,,x,,,,,,,Landon,Incoming Freshman,,,,
Civil Engineering ,8/20/18,,,,,,,,,,,,,,Nitrates,,Unknown,Incoming Freshman,,,,
Electrical Technology,8/21/18,,,,,x,x,,x,,,,,,,doesn't want to talk with dining,Case,Incoming Freshman,,X,,
Lyman Briggs,8/24/18,,x,,,,,,,x,,,,,intolerance to oils,,Shaw,Sophomore,,,,
Envionmental Biology,8/25/18,x,x,x,,,,,,x,,,,,,,Holmes,Junior,,,,
,8/26/18,,,,,,,,,,,,,,,Wanted recipes/cookbook,Unknown,Unknown,,,,
Business,8/27/18,,x,,,,,,,,,,,,,,Bryan,Incoming Freshman,,,,
Actuarial Science,8/27/18,x,x,,,,,,,,,,,,,,Holden,Incoming Freshman,,,,
Advertising Management,8/27/18,,,,x,x,,,,,,,,,scallops,,Holmes,Incoming Freshman,,,,
History Education,8/27/18,,,,,,,,,,,,,,contacted 6/13/19 (veg sausage & soy/almond based ice cream request),Wants protein powder in dining halls,Unknown,Senior,,,,
Political Science,8/28/18,,,,,x,,,,,,,,,,,Brody,Freshman,,,,
James Madison,8/30/18,,x,x,,,,,,x,,,,,"Beans, Poultry",,Case,Freshman,,,,
Lyman Briggs,8/30/18,,,,,,,,,,,,,,Diabetes and CHO counting,,Holmes,Freshman,,X,,
English,8/31/18,,,,,,,,,,,,,,,,Unknown,Sophomore,,X,,
Music Performance,9/2/18,,,,,,,,,,,,,,,Wants entrée salads back at Landon,Landon,Senior,,,,
,9/2/18,,,,,,,,,,,,,,,Problems with MSUtrition,Off Campus,Community,,,,
Business,9/4/18,,,,,,,,,x,,,,,Organic,,McDonel,Freshman,,,,
Business,9/4/18,,,,,,,,,,,,,,,Wanted nutritional information,Unknown,Senior,,,,
Psychology,9/6/18,,,,,,,,,,,,,,,Where meats/F/V are purchased; organics; cooking with plastic,Unknown,Freshman,,,,
Music Performance,9/9/18,,,,,,,,,,x,,,,High cholesterol and needs to change diet,,Unknown,Senior,,,,
Agribusiness Management,9/11/18,,,,,,,,,,,,,,,Wanted nutritional information,Brody,Sophomore,,,,
History Education,9/11/18,,,,,,,,,x,,,,,Celiac,,Unknown,Freshman,,,,
Psychology,9/11/18,,,,,,,,,,,,,,,Wanted nutritional information,Unknown,Senior,,,,
Social Work,9/15/18,,,,,,,,,,x,,,,,,Landon,Sophomore,,,,
Computer Science,9/17/18,,,,,,,,,,,,,,,Wants potassium listed on nutritional labels,Unknown,Freshman,,,,
,9/17/18,x,x,x,x,x,x,,,x,,,,,,,Unknown,Prospective,,,,
Dietetics,9/18/18,,,,,,,,,,,,,,,Wants fresh fruit at Spartys,Off Campus,Freshman,,,,
,9/18/18,,,,,,x,,,,,,,,,Sent from Health Center,Unknown,Unknown,Haven't heard from him,,,
Neuroscience,9/19/18,,,,,,,,,,,,,,,Union nutritionals,Off Campus,Sophomore,,,,
Social Work,9/20/18,,,,,,,,,,,x,,,,Requested for egg salad every day,Snyder,Employee,,,,
Psychology,9/24/18,,,,,,,,,x,,,,,Celiac,,Case,Freshman,,,,
Music Performance,9/24/18,,,,,,,,,,,,,,,Union nutritionals,Unknown,Freshman,,,,
Premed,9/24/18,,,x,x,x,x,,,,, ,,,,Anaphylactic reaction at Case,Wilson,Freshman,,,,
Genomics & Molecular Genetics,9/24/18,,,,,,,,,x,,x,,,,,Unknown,Freshman,,,,
Engineering,9/24/18,,,,,,,,,x,,,,,Carb and caffeine intolerant,,Unknown,Freshman,,,,
Premed,9/26/18,,,,,x,,,,,,,,,,,Case,Freshman,,,,
Finance,9/26/18,,,,,,,,,,,,,,,Menus online didn't match what's being served,Shaw,Senior,,,,
,9/28/18,,,,,,,,,x,,,,,Celiac,,Unknown,Prospective,,,,
Business,10/3/18,,,,,,,,,,,,,,Hypoglycemic,Lack of healthy foods,Brody,Freshman,,,,
Environmental Geosciences,10/9/18,,,,,,,,,,,,,,"Pukes if she eats before 5p, only protein is beef and chicken, only eats eggs if it's in something, issues with pesticides",,Akers,Freshman,,,,
Law,10/9/18,,,,,,,,,,,,,,Lupus -- Mediterranean diet,,Owen,Unknown,,,,
,10/10/18,,,,,,,,,,,,,,Nutritionals - Sparty's Market,,Off Campus,Employee,,,,
Lyman Briggs,10/17/18,,,,,,,,,,,x,,,ED -- gets weighed biweekly,,Akers,Freshman,,,,
Communication,10/22/18,,,,,,,,,x,,,,,,,Off Campus,Graduate,,,,
Engineering,10/23/18,,,,,,,,,,,,,,,"Wants Gallery Pub back, no 'wholesome' options between L and D",Snyder,Freshman,,,,
Engineering,10/24/18,,x,,,,,,,,,x,,,,,Wilson,Freshman,,,,
Business,10/24/18,,,,,,,,x,,,,,,,,Wilson,Freshman,,,,
Capital Asset Management,10/30/18,,,,,,,,,x,,,,,,,Off Campus,Employee,,,,
Human Biology,11/4/18,,,,,,,,,,,,x,,,,Akers,Freshman,,,,
,11/4/18,x,x,,,x,x,,,,,,,,Red Meat,,Brody,Prospective,,,,
Exploratory Preference,11/5/18,,,,,,,,,x,,,,,,,Snyder,Sophomore,,,,
Business,11/5/18,,,,,,,,,,,,,,No healthy options,,Unknown,Freshman,,,,
Engineering Dean,11/6/18,,,,,,,,,x,,,,,,Wanted to get rid of Ope's and use Udi's,Case,Employee,,,,
Human Biology,11/7/18,,x,,,x,x,,,,,,,,,,Akers,Freshman,,,,
Arts and Humanities,11/7/18,,,,,,,,,,,,,,Autism -- has anxiety in the dining halls,Wants additional takeout meals,Unknown,Freshman,,X,,
Jazz,11/9/18,,,,,x,x,,,,,,,,,Sent letter to President,Campbell,Senior,,,,
Astrophysics,11/14/18,,,,,,,,,,,,,,Nutritional information,,Unknown,Junior,,,,
Landscape and Nursery Mgt,11/15/18,,,,,x,,,,,,,,,,Reaction -- didn't read sign,Akers,Freshman,,,,
Political Science,11/20/18,,,,,,,,,x,,,,,"Acid reflux, no gall bladder",All food makes her sick,Holden,Freshman,,,,
CED Outreach,11/26/18,,,,,,,,,,,,,,Sparty's nutritional information,,Off Campus,Employee,,,,
Media and Information,11/28/18,x,x,,,,,,,,,x,,,,"Vegetarian, tries to avoid milk/eggs -- no options",Brody,Freshman,,,,
Mathematics,11/28/18,,,,,,,,,,,x,,,,"Running out of food, low options",Shaw,Senior,,,,
Food Science ,11/28/18,,x,,,,,,,,,,,,,Wants nondairy options part of CX,Off Campus,Junior,,,,
,12/4/18,,,,,,,,,,,,,,,Hubbard community kitchens,Unknown,Unknown,,,,
,12/7/18,,,,,,,,,x,,,,,,,Snyder,Incoming Freshman,,,,
Human Biology,12/12/18,,,,,,,,,,,,,,"Non-GMO, organic; gets sick whenever/wherever she eats",,Holden,Freshman,,,,
Lyman Briggs,12/12/18,,,,,,,,,,,,,,Lose weight and tone up for body building,,Holmes,Freshman,,,,
Social Work,12/31/18,,,,,,,,,,,,,,,Wanted recipe,Off Campus,Graduate,,,,
Psychology,1/10/19,,,,,,,,,,,,,,Nutritional information,,Owen,Sophomore,,,,
Arts and Humanities,1/10/19,,,,,,x,,,,,,,,Pistachios; can't stop vomiting,,Gallery,Freshman,,X,,
Human Biology,1/14/19,,,,,,,,,,,,,,Nutritional Information,,Off Campus,Sophomore,,,,
Premed,1/15/19,x,,,,x,x,x,,,,,,,Flax,,Akers,Freshman,,,,
,1/15/19,,,,,,,,,,,,,,Nutritional information,,Shaw,Employee,,,,
Criminal Justice,1/17/19,,,,,,,,,,,,,,"Nutrient dense foods, local foods",,Unknown,Senior,,,,
Computer Science,1/20/19,,,,,,,,,,x,,,,,More options,South,Freshman,,,,
,1/21/19,,,,,,,,,,,,,,,Wanted to know when things were served,Off Campus,Faculty,,,,
Exploratory Preference,1/22/19,,,,,,,,,,,,,,Newly diabetic,,Brody,Freshman,,X,,
Pre-Law,1/23/19,x,x,,,,,,,x,,,,,"Grains, Corn, Tomatoes, Mushrooms, Cashews, Chestnuts, Strawberries, Salt, White/Brown sugar","Edema, headaches, life threatening allergies",Snyder,Freshman,,X,,
,1/23/19,,,,,,,,,x,,,,,Type 1  Diabetic,,Unknown,Incoming Freshman,,,,
Computer Science,1/27/19,,x,,,,,,,x,,,,,Crohn's,,Akers,Sophomore,,,,
James Madison,1/28/19,,,,,x,x,,,,,,,,Colitis,Cross contact,Case,Freshman,,,,
Media and Information,1/28/19,,,,,x,x,,,,,,,,Allergic reaction in Akers,,Hubbard,Freshman,,,,
Human Biology,2/1/19,,,,,,,,,,,,,,Not healthful foods -- too much sugar,,Unknown,Freshman,,,,
Environmental Studies,2/2/19,x,,,,,,,,,,,,,,Wants tofu in the morning instead of eggs,Unknown,Sophomore,,X,,
,2/4/19,,,,,,,,,,,,,,Panic attacks ,,Unknown,Unknown,,,,
Mathematics,2/7/19,,,,,,,,,,,,,,FODMAP - small intenstine infection,,Brody,Freshman,,,,
IPF,2/7/19,,,,,,,,,,,,,,When something would be served,,Unknown,Employee,,,,
Lyman Briggs,2/7/19,,,,,,,,,x,,,,,,No options,Shaw,Freshman,,,,
Engineering,2/7/19,,,,,,,,,,,,,,,Wanted recipes,Unknown,Freshman,,,,
Business-Preference ,2/8/19,,,,,,,,x,,,,,,,,Snyder,Incoming Freshman,,,,
,2/14/19,,,,,,,,,,,,,,"Anxiety, disordered eating, etc",From Health Center,Unknown,Freshman,,,,
Engineering,2/25/19,,x,,x,x,,,,x,,,,,,No options,Shaw,Sophomore,,,,
VetMed,2/26/19,,,,,,,,,,,x,,,,Wants meatless soups at Spartys,Off Campus,Freshman,,,,
Business- Preference ,2/26/19,,,,,,,,,x,,,,,Celiac,,McDonel ,Incoming Freshman,,,,
Psychology,2/27/19,,,,,,,,,,x,,,,,No options,Off Campus,Sophomore,,,,
Business,2/28/19,,,,,,,,,,,,,,Calorie counts,,Unknown,Freshman,,,,
Lyman Briggs,3/3/19,,,,,,,,,x,,,,,Celiac,,Holmes,Incoming Freshman,,,,
,3/13/19,,,,,,,,,,,,,,Nutritional information,,Off Campus,Employee,,,,
Dept of Ed,3/13/19,,,,,,,,,,,,,,Nutritional information,,Off Campus,Employee,,,,
Outreach/Engagement,3/13/19,,,,,,,,,,,,,,Gall Bladder -- needs low fat diet,,Off Campus,Employee,,,,
Lyman Briggs,3/16/19,,,,,,,,,x,,,,,Celiac,,Akers,Incoming Freshman,,,,
James Madison,3/18/19,,,,,,,,,,x,,,,,wants to become Vegan,Akers,Freshman,,,,
Crop and Soil Sciences,3/18/19,,x,,,,,,,x,,,,,,,Unknown,Junior,,,,
,3/21/19,,,,,,,,,,,x,,,,Gets sick whenever she eats,Unknown,Freshman,,,,
Criminal Justice ,3/22/19,,x,,,,,,,x,x,,,,"Crohns, Organic ",,Mason,Incoming Freshman,,,,
Dietetics,3/24/19,,,,,,,,,,x,,,,Wants out of meal plan,Contacted again 5/28 & 5/31,Unknown,Sophomore,,,,
Lyman Briggs,3/27/19,,,,,,,,,,,,,,Wants out of meal plan,,Unknown,Freshman,,,,
International Relations,3/28/19,,,,,,,,,,x,,,,,Wants more consistent options,Case,Sophomore,,,,
,3/28/19,,,,,,,,,,x,,,,,,Unknown,Prospective,,,,
Integrative Biology,3/30/19,,,,,,,,,,,,,,,Wanted a recipe,Off Campus,Employee,,,,
,4/1/19,,,,,x,x,,,,,,,,,,McDonel,Incoming Freshman,,,,
,4/2/19,,,,,,,,,x,,,,,,,Case,Prospective,,,,
Dietetics,4/11/19,,,,,,,,,x,,,,,Celiac,,Unknown,Senior,,,,
,4/12/19,,,,,,,,,x,,,,,,,Off Campus,Community,,,,
Mechanical Engineering,4/12/19,,x,,,x,x,x,,,,,,,,Reaction in Holden from not following recipe; second rxn in Brody Aug 2019 from miscommunication between guest and employee,Holden,Senior,,,,
Human Capital and Society,4/15/19,,,,,,,,,,,,,,Diabetic,,Unknown,Junior,,,,
Education,4/15/19,,,,,,,,,,,,,,Prediabetic,,Unknown,Freshman,,,,
Chemical Engineering,4/15/19,,,,,,,,,x,,,,,,,Holden,Incoming Freshman,,,,
Human Biology,4/15/19,,,,,,,,,x,,,,,,,Holden,Incoming Freshman,,,,
,4/16/19,,,,,x,,,,,,,,,,Anaphylactic,Unknown,Incoming Freshman,,,,
Lyman Briggs,4/22/19,,,,,,,,,x,,,,,Celiac,,Holmes,Incoming Freshman,,,,
Social Relations and Polcy,4/25/19,,x,,,,,,,x,,,,,,Contact allergies,Case ,Incoming Freshman,,,,
FRIB,4/30/19,,,,,,,,,,,,,,Nutritional information,,Off Campus,Faculty,,,,
Business ,5/3/19,,x,,,,x,,,,,,,,,Reaction at Shaw,Shaw,Junior,,,,
Lyman Briggs,5/8/19,,,,,x,x,,,,,,,,,Wants to room with nut-allergy,Holmes,Incoming Freshman,,,,
Physiology,5/13/19,,,,,,,,,,,,,,Type 1  Diabetic,,McDonel,Incoming Freshman,,X,,
Business- Preference ,5/21/19,,,,,,,,,,,,,x,,,Unknown,Incoming Freshman,,,,
Business- Preference ,5/22/19,,,,,,,,,,,,,x,,,Unknown,Incoming Freshman,,,,
,5/22/19,,,,,,,,,,,,,,UC,Wants out of meal plan,Unknown,Incoming Freshman,,X,,
Human Capital and Society,5/23/19,x,x,,,x,x,,,,,,,,"mushrooms, peas- can eat baked eggs, milk",,Holden,Transfer,,X,,
Biomedical Laboratory Science,5/27/19,,,,,,,,,,,x,,,,,Unknown,Incoming Freshman,,,,
Social Work ,5/27/19,,,,,,,,,x,,,,,,,Yakely ,Incoming Freshman,,,,
Crop and Soil Sciences,5/27/19,,,,,,,,,x,,,,,,,Bailey,Incoming Freshman,,,,
Engineering-Exploratory,5/28/19,,x,,,,,,,,,,,,,,Wilson,Incoming Freshman,,,,
,5/31/19,,,,,,,,,x,,,,,,newly diagnosed celiac,Akers,Incoming Freshman,,,,
Communication,6/3/19,,,,,,,,,x,,,,,,,Case ,Transfer ,,,,
Communication,6/3/19,,,,,,,,,x,,,,,,Softball team- referred to Rayanne as well,Wonders,Incoming Freshman,,,,
Business,6/5/19,,,,,,x,x,,,,,,,,,Bailey,Freshman,,,,
James Madison,6/5/19,,,,,,,,,x,,,,,,,Case ,Incoming Freshman,,,,
Lyman Briggs,6/6/19,,,,,x,x,x,,,,,,,"legumes (chickpeas, lentils, peas, beans, etc), poppy seeds, shellfish (unconfirmed)",,Holmes,Incoming Freshman,,X,,
Journalism,6/10/19,,,,,x,x,x,,,,,,,,,Bailey ,Incoming Freshman,,,,
Lyman Briggs,6/10/19,x,,,,,,,,,,x,,,"""Vegetarian, no eggs, no chicken""",,Holmes,Incoming Freshman,,,,
Theatre,6/10/19,,,,,x,x,,,,,x,,,,,Akers,Incoming Freshman,,,,
Music Education,6/12/19,x,x,,,,,,,,,,,,Pork,,Campbell,Incoming Freshman,,,,
Business-Preference ,6/12/19,,,,,x,x,,,,,,,,,,Case ,Incoming Freshman,,,,
Media and Information,6/17/19,,,,x,x,x,x,x,,,,,,"chickpeas, legumes",,Wonders,Incoming Freshman,,,,
,6/18/19,,,,,,,,,x,,,,,had rxn at Brody May 22; contacted Gina 6/18 (gf pizza),,Brody,Employee,,,,
,6/20/19,,,,,,,,,,,,,,,requesting to be released from her dining contract,Unknown,Junior,,,,
Graduated (2008-2012),6/20/19,,,,,,,,,,,,,,,requesting Pepper Jack Soup Recipe,Unknown,Graduated,,,,
Business- Preference ,6/21/19,,,,,x,x,,,,,,,,,,McDonel ,Incoming Freshman,,,,
James Madison,6/25/19,,,,,,,,,,,x,,,,,Case,Incoming Freshman,,,,
Computer Engineering ,7/5/19,,,,,,,,,x,,,,,,,Wilson,Incoming Freshman,,,,
Lyman Briggs,7/8/19,,,,,,,,,,,,,,anaphylatic to carrots,,Holmes,Incoming Freshman,,,,
,7/15/19,x,x,,,x,x,x,x,x,,,,,"sunflower, mango, papaya, oats",Prospective Student (highschool senior),Unknown,Prospective Student,,,,
,7/17/19,,,,,,,,,,x,,,,,Request for more plant based products at BPS Sparty's,Off Campus,Employee,,,,
Electrical Engineering ,7/22/19,,,,,,,x,,,,,x,,kiwi,,Wonders,Incoming Freshman,,,,
,7/22/19,,,,,,,,,,,,,x,,Mom would like daughter to live in Brody,Unknown,Incoming Freshman,,,,
Electrical Engineering ,7/26/19,,,,,,,,,,,,,,,applied for release of housing contract; no other info at this point,Shaw ,Sophomore,,,,
,7/29/19,,,,,x,x,x,,x,,,,,"peas, beans",Prospective Student (highschool senior),Unknown,Prospective Student,,,,
,7/29/19,,,,,,,,,,,,,,,general inquiry about Thrive- has questions about processes ,Owen,Community,,,,
Civil Engineering ,8/2/19,,,,,,,,,,,,,,pureed/soft food diet,double jaw surgery- will need food pureed,Shaw,Senior ,,,,
,8/2/19,,,,,,,,,,,,,,son has egg allergy,employee-son has egg allergy; would like to be added to newsletter,Off Campus,Employee,,,,
,8/3/19,,,,,,,,,x,,,,,,daughter is prospective student w/ Celiac,Unknown,Prospective,,,,
Applied Engineering Sciences,8/3/19,,x,,,,,,,,,,,,beef,,McDonel,Incoming Freshman,,,,
Psychology,8/9/19,,,,,,,,,x,,,,,Celiac,,Bryan,Incoming Freshman,,,,
Physics,8/12/19,,,,,,,,,,,,,,Stage 2 CKD - Referred to RCPD,Needs to monitor Sodium,Rather,Incoming Freshman,,,,
Biochem & Molecular Biology/Biotech,8/13/19,,,,,,,,,,x,,,,,,Unknown,Incoming Freshman,,,,
Mechanical Engineering,8/15/19,,,,,,,,,,,,x,,"No alcohol, No pork",,Unknown,Incoming Freshman,,,,
Preveterinary ,8/20/19,,,,,,,,,,,,,,Metabolic Disorder/Diabetes,Contacted from RCPD,Unknown,Incoming Freshman,,X,,
Political Science- Prelaw,8/20/19,,,,,,,,,,,,,,Metabolic Disorder/Diabetes,Contacted from RCPD,Unknown,Incoming Freshman,,X,,
Data Science,8/20/19,,,,,,,,,,,,,,Metabolic Disorder/Diabetes,Contacted from RCPD,Unknown,Incoming Freshman,,X,,
Psychology,8/20/19,,,,,,,,,,,,,,Metabolic Disorder/Diabetes,Contacted from RCPD,Unknown,Incoming Freshman,,X,,
Human Biology,8/21/19,,,,,,,,,,,,,,Russian Orthodox,Customary to say prayer during meal prep,Unknown,Senior,,,,
,8/23/19,,,,,,,,,,,,,,,Question about soy oil used in Brody,Brody,Employee,,,,
Law,8/23/19,,,,,,,,,,,,,,,Requesting healthy Indian meals be made for him,Brody,Graduate,,,,
Computer Science ,8/26/19,,x,,,,,,,,,,,,,,Wilson,Sophomore,,,,
Genomics & Molecular Genetics,8/28/19,,,,,,,,,,,,,,recovering from eating disorder,Referral from Karen G at Olin,Unknown,Junior,,,,
Business-Preference ,8/29/19,,,,,,,,,,,,,,wired jaw,"Referral from Sarah Peterson, Dietetic Intern @ Sparrow",Holmes ,Freshman,,,,
,9/3/19,,,,,,,,x,x,,,,,"corn, rice",Finding options to eat at Thrive,Hubbard,Unknown,,,,
Mechanical Engineering,9/3/19,,,,,,,,,,,,x,,,Requesting halal options at Gallery & Sparty's,Unknown,Freshman,,,,
,9/5/19,,,,,,,,,x,,,,,Pork,Requesting info for dining on football Saturdays,Off Campus,Community,,,,
Marketing ,9/6/19,,,,,,,,,,,,,,,Recovering from ED; mom requesting out of meal plan to provide own meals,Akers,Junior ,F/u with mom over phone,,,
Lifelong Education,9/7/19,,,,,,,,,,,,,,,Searching for Muslim Food- need more options,Holmes ,Graduate,,,,
Psychology,9/10/19,,,,,,,,,,,,,,Honey,Newly allergic; had anaphylatic rxn from honey in dining hall,Mason,Incoming Freshman,Met with mom & Sarah in Gallery; Gina f/u via email,,,
Mathematics,9/12/19,,,,,,,,,,,,,,,Inquiry about Muslim approved food (she is not Muslim)- issue with alcohol in food),Unknown,Junior,,,,
Advertising Creative,9/13/19,,,,,,,,,,,,,,,concerned that Owen has no open dining room,Owen ,Senior,,,,
,9/14/19,,,,,,,,,x,,,,,,Community member- oldest son has Celiac and would like to eat at The Gallery,Snyder,Community,,,,
Osteopathic Medicine,9/17/19,,,,,,,,x,,,,,,,Not labeling soy oil as allergen,Off Campus,Conference,,,,
Business- Preference ,5/1/19,,,,x,,x,,,,,,,,almonds specifically,,Holden,Incoming Freshman,,,,
Lyman Briggs,6/12/19,,,,,x,x,,,,,,,,,,Holmes,Incoming Freshman,,X,,
Chemical Engineering,5/1/19,,,,,,,,,x,,,,,,,Holden,Incoming Freshman,,,,
Human Biology,5/1/19,,,,,,,,,,,,x,x,,,Akers,Incoming Freshman,,,,
Graphic Design,5/1/19,,,,x,,,,,,,,,,,,Phillips,Incoming Freshman,,,,
Psychology,5/1/19,,,,,,,,,,,x,,,,,Wonders,Incoming Freshman,,,,
Neuroscience ,5/1/19,,,,,,,,,,,,,,,,Hubbard,Junior ,,,,
Prenursing,5/1/19,,,,,,,,,x,,,,,,,Case ,Incoming Freshman,,,,
Lyman Briggs,5/1/19,,,,,,,,,,x,x,,,,,Holmes,Incoming Freshman,,,,
International Relations,5/1/19,,,,,x,,,,,,,,,,,Unknown,Sophomore,,,,
Psychology,5/1/19,,,,,,,,,,x,x,,,"""sometimes vegan/sometimes vegetarian""",,Akers,Incoming Freshman,,,,
Russian,5/1/19,,,,,,,,,,,x,,,,,South,Incoming Freshman,,,,
Lyman Briggs,5/1/19,,,,,,,,,,,x,,,,,Holmes,Junior,,,,
Lyman Briggs,5/1/19,,,,,,,,,,,,,,"No beef, no steak",,Holmes ,Incoming Freshman,,,,
,5/1/19,,,,,x,x,,,,,,,,"apple, banana",,Holden,Incoming Freshman,,,,
Environmental Engineering,5/1/19,,,,,,x,,,,,,,,,,Wilson,Incoming Freshman,,,,
Prenursing,5/1/19,,,,,,,,,x,,,,,,,Gilchrist,Sophomore,,,,
Lyman Briggs,5/1/19,,,,,,,,,,,,,,Diabetic,,Holmes,Incoming Freshman,,,,
Physiology,5/1/19,,,,,,,,,,,,,,Pineapple,,Bailey ,Incoming Freshman,,,,
Biosystems Engineering,5/1/19,,,,,,,,,,,x,,,,,Wilson,Incoming Freshman,,,,
Business- Preference ,5/1/19,,,x,x,x,x,,,,,,,,,,McDonel,Sophomore,,,,
Education,5/1/19,,,,x,,,,,,,,,,,,Wonders,Incoming Freshman,,,,
Prenursing,5/1/19,,,,,,x,,,,,,,,,,Akers,Incoming Freshman,,,,
Prenursing,5/1/19,,,,,,,,,x,,,,,,,Hubbard,Incoming Freshman,,,,
Exploratory Preference,5/1/19,,x,,,,,,,,,,,,,,Akers,Incoming Freshman,,,,
,5/1/19,,,,,,,,,,,,,,,,Case,Incoming Freshman,,,,
Human Biology ,5/1/19,x,,,,x,x,x,,,,,,,,,Mayo,Incoming Freshman,,,,
Education ,5/1/19,,,,,x,x,,,,,,,,,,Wilson,Incoming Freshman,,,,
Biochemistry & Molecular Biology,5/1/19,,,,,x,x,,,,,,,,,,Hubbard,Incoming Freshman,,,,
Lyman Briggs,5/1/19,,,,,,,,,,,,,,"nitrites, artifical flavor, BHT, BHA, TBHQ, nitrates, canola oil",,Holmes,Incoming Freshman,,,,
Political Science,5/1/19,,,,,,,,,,,x,,,,,Hubbard,Incoming Freshman,,,,
Business-Preference ,5/1/19,,,,,,,,,x,,,,,chicken,,McDonel,Incoming Freshman,,,,
James Madison,5/1/19,,,,,,,,,,,,,,citrus,,Case ,Incoming Freshman,,,,
Preveterinary ,5/1/19,,,,,x,x,,,,,,,,,,Holden,Incoming Freshman,,,,
Computer Engineering ,5/1/19,,,,,,x,,,,,,,,,,Wilson,Incoming Freshman,,,,
Exploratory Preference,5/1/19,,,,,,,,,,,,,,High Fructose Corn Syrup,,Snyder,Incoming Freshman,,,,
Communication,5/1/19,,,,x,,,,,,,,,,,,Hubbard,Incoming Freshman,,,,
English,5/1/19,,,,,,,,,,,,,,pork,,Case ,Incoming Freshman,,,,
Business-Preference ,5/1/19,,x,,,,,,,,,,,,,,McDonel,Incoming Freshman,,,,
Biochemistry & Molecular Biology,5/1/19,,,,,,x,,,,,,,,,,Bailey,Incoming Freshman,,,,
Human Biology,5/1/19,,,,,,x,,,,,,,,,,Mason,Incoming Freshman,,,,
Journalism ,5/1/19,,,,,,,,,,,,,,Low Phosphorus; Low Protein (renal diet) ,,Hubbard,Incoming Freshman,,,,
Business-Preference ,5/1/19,,,,,,x,,,,,,,,"cashews, pistachios, hazelnuts, Brazil Nuts",,Akers,Incoming Freshman,,,,
Business- Preference ,5/1/19,,,,,,x,,,,,,,,,,McDonel,Incoming Freshman,,,,
Computer Science ,5/1/19,,,,,x,x,,,,,,,,,,Wonders,Incoming Freshman,,,,
